signal_event_time,timestamp,open,high,low,close,volume,close_time,quote_av,trades,taker_base_vol,taker_quote_vol,ignore
20230505_160000,2023-05-05 9:37,29099.1,29099.1,29095,29095.1,93.822,1.68E+12,2729952.657,1403,46.207,1344498.819,0
20230505_160000,2023-05-05 9:38,29095,29095,29087,29094.9,103.701,1.68E+12,3016646.395,1593,56.129,1632772.536,0
20230505_160000,2023-05-05 9:39,29095,29117.3,29094.9,29102.5,193.397,1.68E+12,5629468.584,2670,134.443,3913312.805,0
20230505_160000,2023-05-05 9:40,29102.5,29102.5,29087,29088.7,177.408,1.68E+12,5161298.215,2398,60.14,1749540.451,0
20230505_160000,2023-05-05 9:41,29088.7,29088.7,29082.5,29086.5,134.976,1.68E+12,3925792.308,1653,52.779,1535051.609,0
20230505_160000,2023-05-05 9:42,29086.5,29105.5,29082,29084.7,496.047,1.68E+12,14433363.81,2688,75.782,2204514.312,0
20230505_160000,2023-05-05 9:43,29084.6,29091.5,29084.6,29090.2,44.769,1.68E+12,1302208.085,1067,25.768,749505.4533,0
20230505_160000,2023-05-05 9:44,29090.2,29100.2,29088.1,29100.2,87.694,1.68E+12,2551277.169,1341,66.096,1922977.011,0
20230505_160000,2023-05-05 9:45,29100.1,29110.6,29098.8,29108.1,254.077,1.68E+12,7394996.867,3145,152.41,4435849.972,0
20230505_160000,2023-05-05 9:46,29108,29109.9,29107,29107.1,124.173,1.68E+12,3614392.956,1546,61.142,1779701.7,0
20230505_160000,2023-05-05 9:47,29107,29117.5,29107,29117.4,104.829,1.68E+12,3051673.61,2004,76.167,2217329.568,0
20230505_160000,2023-05-05 9:48,29117.5,29129,29102.7,29102.7,453.767,1.68E+12,13213993.91,3669,275.12,8011692.619,0
20230505_160000,2023-05-05 9:49,29102.7,29102.8,29095.5,29095.6,84.896,1.68E+12,2470403.809,1266,23.109,672449.167,0
20230505_160000,2023-05-05 9:50,29095.5,29095.6,29088.4,29088.5,186.738,1.68E+12,5432608.36,2434,56.44,1641942.751,0
20230505_160000,2023-05-05 9:51,29088.5,29094.8,29082.8,29083.2,139.623,1.68E+12,4061162.376,2404,72.328,2103797.346,0
20230505_160000,2023-05-05 9:52,29083.2,29090.1,29076.5,29090.1,121.529,1.68E+12,3534357.119,2083,50.365,1464867.469,0
20230505_160000,2023-05-05 9:53,29090,29094.1,29086.6,29094,105.975,1.68E+12,3082853.162,1547,71.243,2072456.281,0
20230505_160000,2023-05-05 9:54,29094.1,29094.1,29082.7,29082.7,60.783,1.68E+12,1767992.608,1003,14.051,408689.7329,0
20230505_160000,2023-05-05 9:55,29082.7,29095,29082.7,29092.3,91.84,1.68E+12,2671514.659,1761,68.051,1979507.233,0
20230505_160000,2023-05-05 9:56,29092.3,29092.3,29082.7,29082.7,46.369,1.68E+12,1348706.721,1089,25.277,735226.0309,0
20230505_160000,2023-05-05 9:57,29082.8,29082.8,29050,29060,603.131,1.68E+12,17529546.44,5062,127.679,3710584.071,0
20230505_160000,2023-05-05 9:58,29060,29082,29057,29079.3,133.061,1.68E+12,3868233.813,2609,87.662,2548385.383,0
20230505_160000,2023-05-05 9:59,29079.2,29089.9,29079.2,29089.9,81.595,1.68E+12,2373155.68,1562,59.548,1731914.911,0
20230505_160000,2023-05-05 10:00,29089.9,29092.1,29084.7,29084.8,93.934,1.68E+12,2732437.224,1762,47.623,1385353.613,0
20230505_160000,2023-05-05 10:01,29084.7,29093.4,29084.7,29092.8,97.476,1.68E+12,2835372.045,1584,64.842,1886145.035,0
20230505_160000,2023-05-05 10:02,29092.7,29094.7,29085.6,29088.2,92.335,1.68E+12,2686123.476,1959,57.607,1675840.684,0
20230505_160000,2023-05-05 10:03,29088.3,29106,29082.5,29103.8,353.612,1.68E+12,10289409.02,3586,270.305,7865420.925,0
20230505_160000,2023-05-05 10:04,29103.8,29106.3,29099.7,29099.7,138.854,1.68E+12,4041282.168,1911,76.876,2237442.731,0
20230505_160000,2023-05-05 10:05,29099.6,29100,29093.4,29099.9,90.198,1.68E+12,2624473.674,1462,38.845,1130235.176,0
20230505_160000,2023-05-05 10:06,29099.9,29102.8,29097.8,29097.8,88.447,1.68E+12,2573819.005,1351,46.929,1365653.481,0
20230505_160000,2023-05-05 10:07,29097.9,29097.9,29081.2,29081.3,115.617,1.68E+12,3362903.298,1616,24.482,712046.6973,0
20230505_160000,2023-05-05 10:08,29081.2,29081.3,29074.3,29076.2,154.32,1.68E+12,4487144.669,1732,31.452,914486.533,0
