et,xt,side,entry,exit,R,reason,year,atr_pct,oi_z
2024-11-20 16:00:00,2024-11-21 00:00:00,-1,94467.71926,95412.3964526,-0.010800000000000079,fibstop,2024,0.023740602138181775,2.25693936839241
2024-11-22 08:00:00,2024-11-23 08:00:00,-1,99014.0641,98600.5,0.003676821785461889,fibstop,2024,0.02404455661656836,1.612122104228276
2024-11-24 00:00:00,2024-11-24 08:00:00,1,98416.99690000001,97432.82693100002,-0.01106147999999993,fibstop,2024,0.018310597076238586,-0.581273770935211
2024-11-25 00:00:00,2024-11-25 08:00:00,1,98000.06573999999,97020.06508259999,-0.01089999999999999,fibstop,2024,0.01946101521354243,-2.9237330959401504
2024-11-25 16:00:00,2024-11-26 00:00:00,-1,93157.40086000001,94088.97486860001,-0.01058098000000002,fibstop,2024,0.02499665905217121,2.0492831606823385
2024-11-27 00:00:00,2024-12-01 16:00:00,1,93412.20156,97081.5,0.03647350899304461,fibstop,2024,0.02575436405150074,-1.492923549507741
2024-12-03 00:00:00,2024-12-03 08:00:00,1,95495.1396,94540.18820399999,-0.011049260000000043,fibstop,2024,0.0189080208122712,-1.0213739103365953
2024-12-03 16:00:00,2024-12-04 16:00:00,1,95776.26660000002,94818.50393400002,-0.011561219999999954,fibstop,2024,0.019176602994489634,-0.205333758258801
2024-12-05 08:00:00,2024-12-09 08:00:00,-1,101674.24676000001,99637.2,0.021662141730389117,fibstop,2024,0.025049878278957285,1.8723665391987057
2024-12-10 00:00:00,2024-12-10 08:00:00,1,96999.60492,96029.6088708,-0.010999999999999932,fibstop,2024,0.02745680818547399,0.0528693513648671
2024-12-12 00:00:00,2024-12-12 08:00:00,-1,100712.10482000001,101719.22586820001,-0.010600000000000045,fibstop,2024,0.02555867934363544,1.144019066209673
2024-12-13 08:00:00,2024-12-18 16:00:00,1,99731.36928,104395.2,0.044452429480463754,fibstop,2024,0.023518457452930252,-1.2609684713220577
2024-12-19 08:00:00,2024-12-19 16:00:00,1,100348.18968000001,99344.7077832,-0.010900000000000024,fibstop,2024,0.026459153490109754,1.383228185954254
2024-12-20 00:00:00,2024-12-20 08:00:00,1,97453.14336,96478.6119264,-0.010800000000000011,fibstop,2024,0.029436358127643374,-0.9226033850825625
