et,xt,side,entry,exit,ret,reason,year,vr,mfe,giveback
2024-01-30 16:00:00+00:00,2024-01-31 14:39:00+00:00,-1,43355.4,42976.115,0.007948275877976065,trail/sl,2024,1.1280357703744135,0.023397316135936964,0.0146490402579609
2024-02-01 00:00:00+00:00,2024-02-01 01:20:00+00:00,1,42560.5,42034.7765,-0.013152380728609863,trail/sl,2024,1.0734272992520015,0.0026879383465890075,0.015040319075198871
2024-02-01 08:00:00+00:00,2024-02-02 13:45:00+00:00,1,42182.3,42778.55,0.013335075612282875,trail/sl,2024,1.070392490344035,0.029578756966784577,0.015443681354501701
2024-02-02 16:00:00+00:00,2024-02-05 04:22:00+00:00,-1,43222.9,42809.35049999999,0.008767833255057117,trail/sl,2024,1.1365432165942564,0.02420476182764239,0.014636928572585273
2024-02-05 08:00:00+00:00,2024-02-06 08:12:00+00:00,-1,43058.9,42945.867999999995,0.001825055447306051,trail/sl,2024,1.1137764911416317,0.01736458664759212,0.01473953120028607
2024-02-06 16:00:00+00:00,2024-02-07 17:20:00+00:00,-1,43232.0,43404.850999999995,-0.004798218911916985,trail/sl,2024,0.8836443755357819,0.010839193190229426,0.01483741210214641
2024-02-08 00:00:00+00:00,2024-02-08 14:56:00+00:00,-1,44326.3,45212.826,-0.020799999999999954,trail/sl,2024,0.774618947133081,0.0004399194157870158,0.02043991941578697
2024-02-08 16:00:00+00:00,2024-02-09 02:45:00+00:00,-1,45406.4,46224.340000000004,-0.018813760174777174,trail/sl,2024,0.9417498419482329,0.011637126043905736,0.029650886218682913
2024-02-09 08:00:00+00:00,2024-02-09 11:49:00+00:00,-1,46185.1,47108.801999999996,-0.020799999999999944,trail/sl,2024,0.9326467474026672,3.6808407906383005e-05,0.020036808407906326
2024-02-09 16:00:00+00:00,2024-02-09 18:00:00+00:00,-1,47137.0,47816.9545,-0.015225069478329122,trail/sl,2024,1.0045346242794915,0.0005664340114983366,0.014991503489827458
