et,xt,et_fill,xt_fill,side,entry,exit,R,mae,fund,reason,x_int,year,tp,fills,atr60,slip_bp
2023-08-19 20:00:00,2023-08-20 04:00:00,2023-08-19 20:00:00,2023-08-20 04:14:00,-1,26107.98036,26103.849889189783,-0.0004724827869845403,-0.003409671631911654,3.0689999999999884e-05,fibstop,26103.849889189783,2023,False,,0.00024351647549741674,0.0
2023-08-20 16:00:00,2023-08-21 12:00:00,2023-08-20 16:00:00,2023-08-21 12:03:00,-1,26129.77634,26057.392,0.0021503759770300874,-0.005940489424028482,1.980999999999858e-05,fibstop,26057.392,2023,False,,0.0005536505354956736,0.0
2023-08-22 00:00:00,2023-08-22 12:00:00,2023-08-22 00:00:00,2023-08-22 12:05:00,-1,26056.312,26055.074,-0.0005717675201064068,-0.0027589476208298015,1.927999999999999e-05,fibstop,26055.074,2023,False,,0.00017806274977608103,0.0
2023-08-23 00:00:00,2023-08-23 08:00:00,2023-08-23 00:00:00,2023-08-23 09:21:00,1,25962.7,26006.928,0.0011137208202536375,0.00016947389909361573,-1.0199999999998405e-05,fibstop,26006.928,2023,False,,0.0008509628643131733,0.0
2023-08-23 20:00:00,2023-08-24 08:00:00,2023-08-23 20:00:00,2023-08-24 08:05:00,-1,26464.064400000003,26472.51,-0.0009222946526497807,-0.00947456884211619,3.1599999999985806e-06,fibstop,26472.51,2023,False,,0.0010338332693085475,0.0
2023-08-24 20:00:00,2023-08-25 04:00:00,2023-08-24 20:00:00,2023-08-25 04:01:00,1,26136.0526,26086.766137098708,-0.002479175369989004,-0.00832385071034021,-6.590000000000762e-06,fibstop,26086.766137098708,2023,False,,0.0003794074083932683,0.0
2023-08-25 16:00:00,2023-08-26 00:00:00,2023-08-25 16:00:00,2023-08-26 00:00:00,1,25945.859360000002,26050.212461988343,0.003383755894404465,-0.00485084568808062,3.819999999999865e-05,fibstop,26050.212461988343,2023,False,,0.0008271440984895605,0.0
2023-08-27 16:00:00,2023-08-28 12:00:00,2023-08-27 16:00:00,2023-08-28 12:08:00,-1,26118.5092,26054.992,0.001872174588573765,-0.0019637721129963596,-4.029000000000185e-05,fibstop,26054.992,2023,False,,0.00019270381737993507,0.0
2023-08-28 16:00:00,2023-08-28 20:00:00,2023-08-28 16:00:00,2023-08-28 23:18:00,-1,25993.18948,26123.155427399997,-0.005554759999999862,-0.007294623083707785,-4.5239999999998476e-05,fibstop,26123.155427399997,2023,False,,0.00040052493497235895,0.0
2023-08-29 20:00:00,2023-08-30 08:00:00,2023-08-29 20:00:00,2023-08-30 08:28:00,-1,27700.099999999995,27436.696534277067,0.009015106058170465,-0.0063140566279545965,-0.00010599000000000025,fibstop,27436.696534277067,2023,False,,0.0005758275503059002,0.0
2023-08-30 16:00:00,2023-08-31 00:00:00,2023-08-30 16:00:00,2023-08-31 00:04:00,1,27131.4908,27274.46741637435,0.004640676317977323,-0.002892977779164261,2.9089999999998978e-05,fibstop,27274.46741637435,2023,False,,0.000730194737293085,0.0
2023-09-01 00:00:00,2023-09-01 12:00:00,2023-09-01 00:00:00,2023-09-01 13:41:00,1,26011.0389,25971.4,-0.002183606058947153,-0.0035422998809939155,5.9679999999999456e-05,fibstop,25971.4,2023,False,,0.00027899863534730767,0.0
2023-09-02 16:00:00,2023-09-03 00:00:00,2023-09-02 16:00:00,2023-09-03 01:04:00,-1,25841.0922,25877.747673519883,-0.0019701055200881286,-0.003305115717980406,-4.838999999999885e-05,fibstop,25877.747673519883,2023,False,,0.0004185803870877598,0.0
