et,xt,et_fill,xt_fill,side,entry,exit,R,mae,fund,reason,x_int,year,tp,fills,atr60,slip_bp
2025-11-28 16:00:00,2025-11-29 00:00:00,2025-11-28 16:00:00,2025-11-29 00:42:00,-1,91306.58154,90926.40786771278,0.0035268550240531342,-0.011138501111822553,3.6850000000004934e-05,fibstop,90926.40786771278,2025,False,,0.0007015121433857301,0.0
2025-11-29 20:00:00,2025-11-30 04:00:00,2025-11-29 20:00:00,2025-11-30 04:25:00,1,90734.50338000001,90826.73161854185,0.000355642702788836,-0.004094400323591755,6.0819999999989216e-05,fibstop,90826.73161854185,2025,False,,0.0003336390136084192,0.0
2025-11-30 16:00:00,2025-12-01 20:00:00,2025-11-30 16:00:00,2025-12-01 20:01:00,-1,91477.34597999998,85265.26203275293,0.021645332924030723,-0.003732662074331196,-0.00012117000000000377,fibstop,85265.26203275293,2025,True,,0.0003107725331790801,0.0
2025-12-02 04:00:00,2025-12-02 12:00:00,2025-12-02 04:00:00,2025-12-02 13:58:00,-1,87070.7812,87845.26678777169,-0.0010858994674598547,-0.006537426127974173,-2.642999999999396e-05,fibstop,87845.26678777169,2025,True,,0.0006865040165507603,0.0
2025-12-02 20:00:00,2025-12-03 00:00:00,2025-12-02 20:00:00,2025-12-03 01:53:00,-1,91498.62368,92460.87704121403,-0.01113390836508112,-0.005156102911995079,1.7319999999987346e-05,fibstop,92460.87704121403,2025,False,,0.0005607909365052983,0.0
2025-12-03 08:00:00,2025-12-03 16:00:00,2025-12-03 08:00:00,2025-12-03 16:35:00,-1,93256.01298,92532.75715127641,0.006769837659494094,-0.0042633928611689005,-0.0,fibstop,92532.75715127641,2025,True,,0.0005759989142319024,0.0
2025-12-04 20:00:00,2025-12-05 08:00:00,2025-12-04 20:00:00,2025-12-05 08:00:00,1,91935.84250000001,92193.27089142335,0.0042948184301384905,-0.0031113273367784763,9.781000000000373e-05,fibstop,92193.27089142335,2025,True,,0.0011877877082465613,0.0
2025-12-05 20:00:00,2025-12-06 04:00:00,2025-12-05 20:00:00,2025-12-06 04:00:00,1,89105.96422000001,89616.99191182063,0.0030526284902300015,-0.0027973909735669973,3.692999999999058e-05,fibstop,89616.99191182063,2025,True,,0.0007286521756866652,0.0
2025-12-07 20:00:00,2025-12-08 00:00:00,2025-12-07 20:00:00,2025-12-08 01:31:00,-1,90463.9996,91258.47536316737,-0.009387621237622292,-0.011155823360257461,5.389999999994011e-06,fibstop,91258.47536316737,2025,False,,0.00044565645026418965,0.0
2025-12-08 12:00:00,2025-12-08 20:00:00,2025-12-08 12:00:00,2025-12-08 21:05:00,-1,90047.09324000002,90888.74589685118,-0.00991285539446096,-0.022869219714970305,-3.395000000000481e-05,fibstop,90888.74589685118,2025,False,,0.00036848612131721393,0.0
